time/fs 	 energy/h 	 kin energy/h 	 thermostat/h 	 SumE/h 	 T/K 
5.93000000e+02	-1.06788530e+03	4.92396284e-02	1.96321421e-03	-1067.8833367857899	259.144081322001
5.93500000e+02	-1.06788683e+03	6.01099541e-02	-7.38033452e-03	-1067.8942103345198	316.3537041143095
5.94000000e+02	-1.06788784e+03	7.03199828e-02	-1.65845316e-02	-1067.9044245316002	370.08823854740774
5.94500000e+02	-1.06788805e+03	7.03578739e-02	-1.63961050e-02	-1067.904446105	370.2876562647799
5.95000000e+02	-1.06788765e+03	6.42827220e-02	-1.07073464e-02	-1067.8983573464	338.31463556633145
5.95500000e+02	-1.06788705e+03	5.85158258e-02	-5.51949496e-03	-1067.89256949496	307.9639390564378
5.96000000e+02	-1.06788662e+03	5.49838636e-02	-2.40712143e-03	-1067.88902712143	289.3755148679435
5.96500000e+02	-1.06788654e+03	5.34550756e-02	-9.68138117e-04	-1067.887508138117	281.3296303909579
5.97000000e+02	-1.06788677e+03	5.37549182e-02	-1.04968832e-03	-1067.8878196883202	282.90767713182646
5.97500000e+02	-1.06788713e+03	5.56793319e-02	-2.62490940e-03	-1067.8897549094002	293.0357068626514
5.98000000e+02	-1.06788736e+03	5.85574561e-02	-5.28094372e-03	-1067.89264094372	308.1830358733557
5.98500000e+02	-1.06788722e+03	6.10061633e-02	-7.87367783e-03	-1067.8950936778301	321.07037882029334
5.99000000e+02	-1.06788659e+03	6.14074087e-02	-8.89585456e-03	-1067.89548585456	323.1821000892475
5.99500000e+02	-1.06788558e+03	5.88929986e-02	-7.38608013e-03	-1067.8929660801298	309.9489682276906
6.00000000e+02	-1.06788445e+03	5.42099680e-02	-3.81237381e-03	-1067.88826237381	285.3025664965228
6.00500000e+02	-1.06788356e+03	4.98109041e-02	-2.89891478e-04	-1067.883849891478	262.15065796095234
6.01000000e+02	-1.06788316e+03	4.81573635e-02	9.64998708e-04	-1067.882195001292	253.44821089464526
6.01500000e+02	-1.06788332e+03	5.07929888e-02	-1.51143964e-03	-1067.8848314396398	267.3192883026446
6.02000000e+02	-1.06788395e+03	5.80968651e-02	-8.20230024e-03	-1067.89215230024	305.7589836325354
6.02500000e+02	-1.06788472e+03	6.59962141e-02	-1.53506388e-02	-1067.9000706388001	347.33260240596354
6.03000000e+02	-1.06788517e+03	6.84642044e-02	-1.73760291e-02	-1067.9025460291	360.3214307092476
6.03500000e+02	-1.06788501e+03	6.34545880e-02	-1.25305447e-02	-1067.8975405447	333.9562349931559
6.04000000e+02	-1.06788431e+03	5.44067842e-02	-4.18561277e-03	-1067.88849561277	286.3383938371347
6.04500000e+02	-1.06788335e+03	4.83900157e-02	8.94823151e-04	-1067.8824551768491	254.67264013173798
6.05000000e+02	-1.06788239e+03	4.73645729e-02	9.69651527e-04	-1067.881420348473	249.27581970499693
6.05500000e+02	-1.06788156e+03	4.87856240e-02	-1.28519995e-03	-1067.88284519995	256.75469381082013
6.06000000e+02	-1.06788092e+03	5.19193777e-02	-5.05672215e-03	-1067.88597672215	273.2473796832408
6.06500000e+02	-1.06788044e+03	5.62546190e-02	-9.86766652e-03	-1067.89030766652	296.06339516717765
6.07000000e+02	-1.06788002e+03	6.01320146e-02	-1.41683319e-02	-1067.8941883319	316.46980669655403
6.07500000e+02	-1.06787949e+03	6.18232240e-02	-1.64026190e-02	-1067.895892619	325.37050153376634
6.08000000e+02	-1.06787866e+03	6.05065078e-02	-1.59241194e-02	-1067.8945841194002	318.44073335519914
6.08500000e+02	-1.06787744e+03	5.59313267e-02	-1.25761152e-02	-1067.8900161152	294.3619345996569
6.09000000e+02	-1.06787590e+03	4.75246691e-02	-5.70642245e-03	-1067.88160642245	250.11839273042906
6.09500000e+02	-1.06787433e+03	3.92331396e-02	1.01898474e-03	-1067.87331101526	206.48076050508575
6.10000000e+02	-1.06787292e+03	3.67494547e-02	2.10311818e-03	-1067.87081688182	193.40933282339705
6.10500000e+02	-1.06787167e+03	4.14685997e-02	-3.86029182e-03	-1067.87553029182	218.24580164716082
6.11000000e+02	-1.06787035e+03	4.93878347e-02	-1.31020894e-02	-1067.8834520894	259.92407878964303
6.11500000e+02	-1.06786877e+03	5.36382095e-02	-1.89221034e-02	-1067.8876921034	282.2934489212053
6.12000000e+02	-1.06786685e+03	5.68772532e-02	-2.40745908e-02	-1067.8909245908	299.34026733298504
6.12500000e+02	-1.06786458e+03	5.91278732e-02	-2.85795468e-02	-1067.8931595468	311.1850937717021
6.13000000e+02	-1.06786213e+03	5.98040430e-02	-3.16845978e-02	-1067.8938145978	314.74371936114056
6.13500000e+02	-1.06785980e+03	5.91937637e-02	-3.33760793e-02	-1067.8931760793	311.5318700095656
6.14000000e+02	-1.06785796e+03	5.80998155e-02	-3.41069691e-02	-1067.8920669691001	305.77451134308836
6.14500000e+02	-1.06785687e+03	5.72382077e-02	-3.43239990e-02	-1067.891193999	301.23994093615835
6.15000000e+02	-1.06785664e+03	5.69025102e-02	-3.42352466e-02	-1067.8908752466	299.473192829676
6.15500000e+02	-1.06785711e+03	5.69299362e-02	-3.38058313e-02	-1067.8909158313	299.61753359351366
6.16000000e+02	-1.06785801e+03	5.68335947e-02	-3.28392823e-02	-1067.8908492823	299.1104962676454
6.16500000e+02	-1.06785899e+03	5.60624471e-02	-3.10982929e-02	-1067.8900882929	295.0520103923608
6.17000000e+02	-1.06785988e+03	5.44085782e-02	-2.85546834e-02	-1067.8884346834	286.3478355103763
6.17500000e+02	-1.06786072e+03	5.23700501e-02	-2.56720583e-02	-1067.8863920582999	275.6192311547109
6.18000000e+02	-1.06786170e+03	5.10818771e-02	-2.33915843e-02	-1067.8850915843	268.8396834709431
6.18500000e+02	-1.06786305e+03	5.17883814e-02	-2.27450285e-02	-1067.8857950284998	272.5579570185466
6.19000000e+02	-1.06786487e+03	5.53592766e-02	-2.44948167e-02	-1067.8893648167002	291.3512823577188
6.19500000e+02	-1.06786712e+03	6.13678656e-02	-2.82734727e-02	-1067.8953934727	322.9739880328591
6.20000000e+02	-1.06786953e+03	6.66590403e-02	-3.11649755e-02	-1067.9006949754998	350.82100173505256
6.20500000e+02	-1.06787177e+03	6.64345919e-02	-2.87122304e-02	-1067.9004822304	349.6397484171012
6.21000000e+02	-1.06787360e+03	5.91079647e-02	-1.95620078e-02	-1067.8931620078	311.08031698701376
6.21500000e+02	-1.06787504e+03	5.19906185e-02	-1.10263968e-02	-1067.8860663967998	273.6223141063577
6.22000000e+02	-1.06787619e+03	4.96546213e-02	-7.55160268e-03	-1067.88374160268	261.3281545435133
6.22500000e+02	-1.06787704e+03	5.06531894e-02	-7.70687084e-03	-1067.88474687084	266.5835356526029
6.23000000e+02	-1.06787746e+03	5.39633886e-02	-1.05981857e-02	-1067.8880581857	284.0048395606727
6.23500000e+02	-1.06787729e+03	5.86315197e-02	-1.54330085e-02	-1067.8927230084998	308.5728264588062
6.24000000e+02	-1.06787643e+03	6.25172286e-02	-2.01654353e-02	-1067.8965954353	329.0229901967442
6.24500000e+02	-1.06787500e+03	6.33045916e-02	-2.23471520e-02	-1067.897347152	333.16681637764884
6.25000000e+02	-1.06787343e+03	6.04614647e-02	-2.10497956e-02	-1067.8944797956	318.20367525487046
6.25500000e+02	-1.06787226e+03	5.55930220e-02	-1.73288429e-02	-1067.8895888429001	292.58146501576346
6.26000000e+02	-1.06787191e+03	5.11920553e-02	-1.32659116e-02	-1067.8851759116	269.41954220157305
6.26500000e+02	-1.06787251e+03	4.90961678e-02	-1.05912975e-02	-1067.8831012975	258.38906007994586
6.27000000e+02	-1.06787384e+03	5.02048280e-02	-1.03904382e-02	-1067.8842304382	264.22384678250484
6.27500000e+02	-1.06787554e+03	5.58325839e-02	-1.43487030e-02	-1067.889888703	293.8422594310043
6.28000000e+02	-1.06787715e+03	6.57785714e-02	-2.26991140e-02	-1067.899849114	346.1871669227839
6.28500000e+02	-1.06787821e+03	7.22858403e-02	-2.81431059e-02	-1067.9063531059	380.4343835611151
6.29000000e+02	-1.06787855e+03	6.89267043e-02	-2.44202268e-02	-1067.9029702267999	362.7555293324821
6.29500000e+02	-1.06787856e+03	5.86398099e-02	-1.41054385e-02	-1067.8926654385002	308.6164570939833
6.30000000e+02	-1.06787879e+03	5.16416126e-02	-6.86338898e-03	-1067.88565338898	271.78552499420715
6.30500000e+02	-1.06787963e+03	5.00933923e-02	-4.47346288e-03	-1067.88410346288	263.6373699336467
6.31000000e+02	-1.06788121e+03	5.23769749e-02	-5.18242178e-03	-1067.88639242178	275.6556758029069
6.31500000e+02	-1.06788345e+03	5.74750124e-02	-8.04973808e-03	-1067.89149973808	302.486224436426
6.32000000e+02	-1.06788608e+03	6.32398014e-02	-1.12098267e-02	-1067.8972898267	332.8258309274486
6.32500000e+02	-1.06788863e+03	6.59027754e-02	-1.13521298e-02	-1067.8999821297998	346.84084227579524
6.33000000e+02	-1.06789062e+03	6.21674438e-02	-5.64999127e-03	-1067.89626999127	327.18210179848
6.33500000e+02	-1.06789182e+03	5.42173590e-02	3.49418502e-03	-1067.8883258149801	285.3414647166615
6.34000000e+02	-1.06789235e+03	4.90694001e-02	9.16991913e-03	-1067.88318008087	258.248183894422
6.34500000e+02	-1.06789241e+03	4.81348619e-02	1.01696257e-02	-1067.8822403743	253.32978683967667
6.35000000e+02	-1.06789217e+03	5.02720225e-02	7.81357773e-03	-1067.88435642227	264.5774858642407
6.35500000e+02	-1.06789183e+03	5.37148424e-02	4.03776178e-03	-1067.88779223822	282.69676151950955
6.36000000e+02	-1.06789161e+03	5.59067060e-02	1.65483980e-03	-1067.8899551601999	294.23235789710395
6.36500000e+02	-1.06789175e+03	5.72209004e-02	4.82233449e-04	-1067.891267766551	301.14885405137863
6.37000000e+02	-1.06789230e+03	5.82325978e-02	1.05875666e-05	-1067.8922894124335	306.4733335776875
6.37500000e+02	-1.06789310e+03	5.86378720e-02	3.91081226e-04	-1067.892708918774	308.6062580869738
6.38000000e+02	-1.06789385e+03	5.78216521e-02	1.93353243e-03	-1067.89191646757	304.31056043418175
6.38500000e+02	-1.06789424e+03	5.51103515e-02	5.02172498e-03	-1067.88921827502	290.041210197274
6.39000000e+02	-1.06789417e+03	4.98858226e-02	1.01692369e-02	-1067.8840007631	262.54494781421454
6.39500000e+02	-1.06789378e+03	4.37815515e-02	1.58901330e-02	-1067.877889867	230.41867518072854
6.40000000e+02	-1.06789333e+03	4.10721487e-02	1.81648618e-02	-1067.8751651382001	216.15931290785528
6.40500000e+02	-1.06789300e+03	4.42383720e-02	1.46742362e-02	-1067.8783257638	232.82288359269853
6.41000000e+02	-1.06789279e+03	5.30824837e-02	5.62060831e-03	-1067.8871693916901	279.3687101165571
6.41500000e+02	-1.06789257e+03	6.08209611e-02	-2.33389358e-03	-1067.89490389358	320.09567499864926
6.42000000e+02	-1.06789225e+03	6.39523360e-02	-5.77707659e-03	-1067.89802707659	336.57584144391984
