r(Å)	g(r)
4.31	0.09419888943921473
4.32	0.08160435512279407
4.33	0.07038969854831711
4.34	0.06046615876775363
4.35	0.05186515253029589
4.36	0.04431158337964569
4.37	0.03769952276287292
4.38	0.031933246866722276
4.39	0.02692097629955481
4.4	0.0226361325394826
4.41	0.018994274163568692
4.42	0.015923928878789573
4.43	0.013396890212766244
4.44	0.011409505583832247
4.45	0.009970277916067416
4.46	0.009154158298105397
4.47	0.008920775942307446
4.48	0.009299346719191193
4.49	0.010315819758494271
4.5	0.012004904403306593
4.51	0.014460808290616134
4.52	0.017666508843706796
4.53	0.02160513381465079
4.54	0.026289665090472703
4.55	0.03172111438067904
4.56	0.03793005971372165
4.57	0.044952713587305904
4.58	0.05271896656011332
4.59	0.061226898492740434
4.6	0.07049219676095275
4.61	0.08053041264318594
4.62	0.09148423590870969
4.63	0.10332705484950377
4.64	0.1161173577403597
4.65	0.12994764302447848
4.66	0.14492900533008812
4.67	0.1612827701349836
4.68	0.1792012834380241
4.69	0.19874383862968636
4.7	0.22007768861560417
4.71	0.2433709565761102
4.72	0.2687960554623867
4.73	0.2968247441179358
4.74	0.32728263717045525
4.75	0.36026109207089285
4.76	0.39581409296248826
4.77	0.4339504432288702
4.78	0.4748402001074328
4.79	0.5182808605880243
4.8	0.5639485469018196
4.81	0.6115980576574211
4.82	0.6609210333361086
4.83	0.7115672723116594
4.84	0.7631242649429185
4.85	0.8149329209561639
4.86	0.8664422480291335
4.87	0.9170587020993782
4.88	0.966174259164149
4.89	1.0128935282277016
4.9	1.0566339331446146
4.91	1.0968423640930816
4.92	1.132934573617931
4.93	1.1643693523774934
4.94	1.1904051221002898
4.95	1.2103117460858503
4.96	1.2242241823759756
4.97	1.2319072617958002
4.98	1.2332170710101318
4.99	1.2281027407975285
5.0	1.2158556784609913
5.01	1.1973584614640358
5.02	1.172965451879137
5.03	1.143041599651864
5.04	1.1080265579417086
5.05	1.0681722295447114
5.06	1.0241336473913578
5.07	0.9768692383387119
5.08	0.9270458211907309
5.09	0.87534087192466
5.1	0.8224344861032719
5.11	0.7689987964682384
5.12	0.7158297526517022
5.13	0.6635225591410564
5.14	0.6126284316517479
5.15	0.5636359077286756
5.16	0.5171839414057886
5.17	0.4735961239795933
5.18	0.43302223578789845
5.19	0.3956496206443343
5.2	0.36159389700781175
5.21	0.33099301486821764
5.22	0.30408028629264827
5.23	0.2804201967297504
5.24	0.25987890151455506
5.25	0.24228522335692482
5.26	0.22743826314053484
5.27	0.21535437590939022
5.28	0.2055833923176651
5.29	0.19781952829825833
5.3	0.19183640841090266
5.31	0.18742079155852143
5.32	0.1844355694169223
5.33	0.18273352949472188
5.34	0.18206299527374026
5.35	0.18231458050181593
5.36	0.18340688910525338
5.37	0.18528374316115737
5.38	0.18800795140655469
5.39	0.19148097192092006
5.4	0.19570439161575848
5.41	0.20069549059511438
